dataset,detector,model,split,k,cells,flows,predictions,f1_mean,precision_mean,recall_mean,recall_novel_mean,recall_known_mean,recall_dos_mean,recall_novel_dos_mean,recall_probe_mean,recall_novel_probe_mean,recall_r2l_mean,recall_novel_r2l_mean,recall_u2r_mean,recall_novel_u2r_mean,pr_auc_mean,roc_auc_mean,error_rate_mean,f1_sd,cost_usd_per_1m,latency_ms_mean,input_tokens_mean,output_tokens_mean,duration_mean,reasoning_tokens_mean,time_to_first_token_mean,total_tokens_mean,cache_read_tokens_mean
nsl-kdd,isolation_forest,sklearn-isolation-forest-100,paper,,3,2000,6000,0.760822510822511,0.9736842105263158,0.6243339253996447,0.5733333333333334,0.6428571428571429,0.7538940809968847,0.44029850746268656,0.9483568075117371,0.951923076923077,0.008064516129032258,0.0,0.6521739130434783,0.6999999999999998,0.9581983573843708,0.9451070190341868,0.0,0.0,,2.711814270277197,,,,,,,
nsl-kdd,jev,jev-1.13.0,paper,0,3,2000,6000,0.7815787602778784,0.9718321041793722,0.6536412078152752,0.6222222222222222,0.6650524616626311,0.8234683281412254,0.6567164179104478,0.6807511737089201,0.8044871794871794,0.1787634408602151,0.0,0.782608695652174,0.75,0.9401379581271669,0.9253195396786041,0.0,0.00493618524054976,42.667527,309.9538979984306,1015.8935,73.115,,,,,
nsl-kdd,jev,jev-1.13.0,paper,1,3,2000,6000,0.8564501908945341,0.9529037754790225,0.7782711663706335,0.7466666666666667,0.7897497982243745,0.9190031152647976,0.8109452736318407,0.89358372456964,0.9262820512820512,0.3239247311827957,0.15079365079365079,0.6811594202898551,0.6333333333333333,0.9520784406820635,0.9497729283437183,0.0,0.024862393904845178,74.433527,315.0044476693777,1772.2268333333334,73.12033333333333,,,,,
nsl-kdd,jev,jev-1.13.0,paper,2,3,2000,6000,0.8458383510068357,0.949140808877122,0.7631734754292481,0.7377777777777778,0.7723970944309927,0.8956386292834891,0.7885572139303482,0.8575899843505477,0.9038461538461539,0.3440860215053763,0.1984126984126984,0.7101449275362319,0.6666666666666666,0.9494395574594865,0.944295129475554,0.0,0.008799321031906998,106.045527,307.9488228191428,2524.8935,73.097,,,,,
nsl-kdd,jev,jev-1.13.0,paper,4,3,2000,6000,0.8564352315892485,0.94396423368129,0.7838957963291889,0.7311111111111112,0.8030669895076675,0.8977154724818277,0.7288557213930349,0.8763693270735525,0.9134615384615384,0.407258064516129,0.2619047619047619,0.8115942028985508,0.7833333333333333,0.9593696911451053,0.9592571667797961,0.0,0.01483907016982825,169.143527,322.4059224413165,4027.226833333333,73.141,,,,,
nsl-kdd,jev,jev-1.13.0,paper,8,3,2000,6000,0.8540170895357059,0.942067510724427,0.7827116637063352,0.721111111111111,0.8050847457627119,0.9112149532710281,0.7288557213930348,0.8341158059467918,0.8974358974358975,0.4018817204301075,0.2222222222222222,0.8260869565217391,0.7999999999999999,0.9640226038824556,0.9618808198966797,0.0,0.01663279373834474,295.199527,334.8674493620395,7028.560166666667,73.12566666666666,,,,,
nsl-kdd,llm:gemini,gemini-3.6-flash,paper,0,3,2000,6000,0.8673880834969211,0.9461707466966547,0.8007696862048549,0.6866666666666666,0.8422114608555287,0.9091381100726895,0.6492537313432836,0.9796557120500783,0.9615384615384616,0.36693548387096775,0.08730158730158728,0.7971014492753623,0.7666666666666666,0.9492519562156487,0.9588097299391811,0.0,0.004560668912782645,1067.52725,2243.8122186961923,798.9105,21.4485,2.2431775685350024,191.50262264733107,2.242981985095508,820.359,
nsl-kdd,llm:gemini,gemini-3.6-flash,paper,1,3,2000,6000,0.8796342884357952,0.9421165432996319,0.8256364712847839,0.7133333333333333,0.8664245359160613,0.9278296988577363,0.7338308457711443,0.9796557120500783,0.9583333333333334,0.44086021505376344,0.07142857142857142,0.6956521739130435,0.65,0.9479174102970825,0.9592287150806199,0.0,0.020095765557636296,1650.595375,2420.6944546778036,1490.2438333333334,20.78933333333333,2.4200715628701572,213.4674486803519,2.419873152001634,1511.0331666666666,
nsl-kdd,llm:gemini,gemini-3.6-flash,paper,2,3,2000,6000,0.8685844886930645,0.9428581948564959,0.80550621669627,0.6844444444444444,0.8494753833736884,0.9158878504672897,0.6840796019900498,0.9796557120500783,0.9583333333333334,0.3763440860215053,0.0,0.7391304347826088,0.7000000000000001,0.9473119927062686,0.9588246332101781,0.0,0.016972814656616264,2408.806625,2653.062883730538,2174.2438333333334,23.152833333333334,2.652435749979512,245.522974472808,2.652231648842001,2197.3966666666665,
nsl-kdd,llm:gemini,gemini-3.6-flash,paper,4,3,2000,6000,0.884202875437793,0.9421491536353285,0.83303730017762,0.7166666666666667,0.8753026634382567,0.9299065420560747,0.7089552238805971,0.9968701095461658,0.9935897435897436,0.44086021505376344,0.007936507936507936,0.8405797101449276,0.8166666666666668,0.9462047518770677,0.9579387353626169,0.0,0.0015542932296807096,2868.751625,2125.81595109752,3539.9105,23.16283333333333,2.125185768758,213.8242105263158,2.1249968151389926,3563.0733333333333,
nsl-kdd,llm:gemini,gemini-3.6-flash,paper,8,3,2000,6000,0.8814727782758167,0.9489377601531966,0.8232682060390765,0.7022222222222222,0.867231638418079,0.9195223260643822,0.6890547263681591,0.9906103286384976,0.9807692307692308,0.43010752688172044,0.007936507936507936,0.8260869565217391,0.8000000000000002,0.9512618822859061,0.9609325992794947,0.0,0.011900518921255697,3034.795325,1991.3293570296742,6268.9105,25.472166666666666,1.990696089680493,227.56896551724137,1.9905041460543105,6294.382666666666,4004.0
nsl-kdd,random_forest,sklearn-random-forest-100,paper,1,3,2000,6000,0.7477289756817914,0.5980701715878075,0.9997039668442866,1.0,0.9995964487489911,0.9994807892004154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7914715201408699,0.7403697772502923,0.0,0.03558076632279773,,2.619316046111635,,,,,,,
nsl-kdd,random_forest,sklearn-random-forest-100,paper,2,3,2000,6000,0.7769762377314566,0.6436967959970507,0.9866785079928952,0.9833333333333334,0.9878934624697336,0.9833852544132918,0.9950248756218905,0.9796557120500783,0.9583333333333334,1.0,1.0,1.0,1.0,0.874774419682446,0.8535401365410592,0.0,0.0618991766896693,,2.5572694409590135,,,,,,,
nsl-kdd,random_forest,sklearn-random-forest-100,paper,4,3,2000,6000,0.8528240293805043,0.7712700532270166,0.9547069271758438,0.9144444444444444,0.9693301049233253,0.9241952232606438,0.8233830845771144,1.0,1.0,0.9919354838709676,0.9523809523809524,0.9855072463768115,1.0,0.9127110927189032,0.9065083939286783,0.0,0.010628934226419617,,2.537436319728537,,,,,,,
nsl-kdd,random_forest,sklearn-random-forest-100,paper,8,3,2000,6000,0.8649111155498312,0.7939359363416277,0.9502664298401421,0.9122222222222222,0.9640839386602099,0.9215991692627207,0.8084577114427861,1.0,1.0,0.978494623655914,0.9841269841269842,0.9855072463768115,1.0,0.9348346375467654,0.9221754575642906,0.0,0.012664856555992142,,2.5003270286736856,,,,,,,
nsl-kdd,random_forest,sklearn-random-forest-100,paper,,3,2000,6000,0.7646742057081314,0.9712722298221615,0.6305506216696269,0.2633333333333333,0.7639225181598063,0.8442367601246105,0.2537313432835821,0.7183098591549296,0.4230769230769231,0.05241935483870968,0.0,0.08695652173913043,0.05000000000000001,0.963374162513832,0.9636265348675574,0.0,0.0,,2.615220106439665,,,,,,,
